Entity,Year,Liver cancer,Kidney cancer,Lip and oral cavity cancer,"Tracheal, bronchus, and lung cancer",Larynx cancer,Gallbladder and biliary tract cancer,Malignant skin melanoma,Leukemia,Hodgkin lymphoma,Multiple myeloma,Other neoplasms,Breast cancer,Prostate cancer,Thyroid cancer,Stomach cancer,Bladder cancer,Uterine cancer,Ovarian cancer,Cervical cancer,Brain and central nervous system cancer,Deaths - Non-Hodgkin lymphoma - Sex: Both - Age: All Ages (Number),Deaths - Pancreatic cancer - Sex: Both - Age: All Ages (Number),Deaths - Esophageal cancer - Sex: Both - Age: All Ages (Number),Deaths - Testicular cancer - Sex: Both - Age: All Ages (Number),Deaths - Nasopharynx cancer - Sex: Both - Age: All Ages (Number),Deaths - Other pharynx cancer - Sex: Both - Age: All Ages (Number),Deaths - Colon and rectum cancer - Sex: Both - Age: All Ages (Number),Deaths - Non-melanoma skin cancer - Sex: Both - Age: All Ages (Number),Deaths - Mesothelioma - Sex: Both - Age: All Ages (Number)
Vietnam,60135,63840,13831,62939,456939,33204,23729,4547,78545,7786,11966,5099,216341,57088,21360,237015,27609,12934,39189,107382,32238,41156,56831,49561,2699,58818,41713,246287,13381,3366
Wales,60135,5308,6137,2503,63905,1571,1770,3432,8350,621,4991,2846,25069,20326,712,15094,9709,2912,8396,2973,6034,8535,15412,14135,180,375,1189,35939,1172,3036
Western Pacific Region (WHO),60135,7797837,698589,722258,18052359,570666,1387389,196522,2496592,129931,459200,216977,3085145,1732226,269574,14212566,1165530,538756,817573,1574383,1728065,1376431,3025274,7632439,41654,989924,264792,7229343,376328,119847
World,60135,12563680,3432925,4229580,44801914,3052584,3853619,1423418,8769416,802957,2371150,1112217,15599266,10270998,986945,26385742,4992634,2179138,4185747,6764027,5658693,5512153,10009049,12606645,259863,1813269,2337055,22857331,1113279,648757
World Bank High Income,60135,2942925,1757626,932569,17500129,650906,1555936,829849,2586507,164338,1323827,776478,5595022,4577013,280573,5482072,2347158,777119,1831530,952660,1678049,2440817,4878771,2121129,59827,178433,487852,10009423,346811,401843
World Bank Low Income,60135,402814,67164,131070,703457,98398,87327,45669,527963,60041,66672,15534,625012,487262,54358,854068,175565,76533,111995,826936,177200,208397,158946,544135,10129,72184,47413,445990,27119,12590
World Bank Lower Middle Income,60135,1763167,464875,2135682,5819867,1188286,853667,147681,2309532,318957,372404,108991,4582915,1995113,324428,4319792,846098,460170,931558,2333519,1267216,1189760,1317653,1717763,86018,597060,1394087,3759787,189053,84073
World Bank Upper Middle Income,60135,7450597,1141529,1028329,20757634,1113138,1355079,399573,3340128,259191,606597,210628,4785173,3200663,326978,15721297,1620970,863516,1308564,2645664,2533709,1669849,3649130,8220394,103780,964805,406872,8629466,549485,149901
Yemen,60135,7780,1880,2090,25063,6019,3629,1039,24886,2216,2300,407,16856,9147,1246,48617,6119,1127,2069,5773,12090,5621,4254,10432,211,1215,757,15034,861,152
Zambia,60135,4225,2127,4000,13464,2446,1521,1442,10554,1815,1724,389,14674,14645,1216,13594,3327,1958,3395,25198,3545,7006,5122,21624,329,2463,1488,13712,619,368
Zimbabwe,60135,27387,1457,3363,22774,3871,2158,2829,6044,885,5106,839,20865,30048,1557,20741,11952,3949,5251,28653,2348,2887,10122,26407,252,1230,970,17586,955,395
